sentence1,sentence2,score
الرجل يقفز في الماء,الرجل في الهواء,0.48
امرأة ترتدي قميصًا أسودًا تقف أمام الموز في كشك فاكهة.,امرأة ترتدي ملابس سوداء تقف أمام شاحنة.,0.48
طفل يقفز في بركة سباحة.,كلب يقفز في بركة سباحة,0.24
ولد صغير يقفز من كرسي إلى آخر,صبي صغير يقفز من كرسي إلى آخر في منزله,0.96
فتاة تهز شعرها الطويل الرطب في البحيرة,شخص يركب دراجة قذرة,0.0
كلبان يلعبان على الشاطئ,كلبان يلعبان في الثلج,0.56
فتاة صغيرة تمشي على ممشى مع قباب زرقاء في الخلفية.,رجل يقفز على دراجته مع نهر في الخلفية,0.0
امرأتان جالستان على مقعد، ووجوهما مغطاة، مع امرأة تحمل نمراً قابل للنفخ والمرأة الأخرى في زي ديزني أبيض الثلج.,فتاة تجلس على مقعد تحمل نمرًا قابل للتضخم بجانب فتاة أخرى ترتدي ملابس ملونة.,0.44
رجل وفتاتان يبتسمان إلى الكاميرا,ثلاثة كلاب، واحد أبيض واثنان بني، يركضون معاً على حقل من العشب.,0.0
كلب يسبح بعصاً في فمه,كلب يسبح في الماء بعصا في فمه,1.0
البودل الأسود يلعب في الثلج.,البودل الأسود يتلاعب في الثلج.,1.0
فتاتان يحملان منشور فيلم مخيف,فتاتان تحملان أكياس تقفان في حقل.,0.28
ثلاثة أولاد يركضون على الشاطئ يلعبون لعبة.,صبيّان شابّان ورجل شابّ واحد يركضان على الشاطئ مع المياه خلفهم.,0.64
فتاة ترتدي حزاماً أرجوانياً و تنورة متطابقة,مجموعة من الفتيات يرتدين تنورة جينز وقمصان سوبرمان.,0.32
رجل يرتدي سترة رمادية يقف على جانب الشارع,صبي يرتدي سترة نجاة زرقاء يمسك بجانب قارب أخضر.,0.12
الكلب البني والأسود يقفز للقبض على الكرة الحمراء,كلب بني و أسود يقفز من أجل كرة حمراء,1.0
الكلب السمراء يجري من خلال الأوراق,الكلب الأبيض يركض عبر المحيط,0.36
كلب أبيض وأسود يقفز إلى بركة.,امرأة ترتدي المئزر الأسود تقف أمام المرآة.,0.0
كلب أسود وأبيض يحمل عصا في فمه.,الكلب الأسود والأبيض لديه عصا في مخالب.,0.6
الغزال يقفز على السياج,غزال يقفز فوق السياج,1.0
فتاة صغيرة تحمل عصا خشبية,فتاة صغيرة تسبح في بركة,0.44
كلب أسود يقفز عبر الماء.,الكلب يسير في الثلج.,0.48
مجموعة من الناس أمام شاحنة إطفاء حمراء,مجموعة من الناس يقفون حول شاحنة إطفاء حمراء.,0.84
صبي يقفز في مياه البركة الزرقاء,الصبي الصغير يقفز في المسبح على بطنه,0.68
كلب شقراء يلتقط كرة في فمه في الثلج.,فتاة شقراء صغيرة تجلس على كرسي أخضر.,0.0
ثلاثة أطفال يلعبون ويضحكون على الأرض,ثلاثة أطفال يلعبون على الأرض,0.76
رجل يجلس مع عصى الصيد بالقرب من جسم الماء.,رجل يجلس على صخرة بجانب كرسي طابق قابل للطي وعصا صيد.,0.68
امرأة وكلب يقفان في العشب,رجل يحمل لافتة بينما يقف في المطر.,0.0
رجل في قميص أزرق يركض في ملعب الملعب.,رجل يرتدي قبعة زرقاء وقميصا يمتطي حصان أبيض.,0.2
كلب أسود يركض في الماء,كلب أسود يجري في بعض المياه.,0.96
أطفال يقفزون على الترامبولين,رجل يزحف على زلاجة برتقالية.,0.0
كلبٌ بنيٌ كبيرٌ يَتَكَوَّأُ في حقلٍ عُشبي.,كلب بني يركض في الحقل.,0.6
الكلب يركض عبر العشب.,كلب يركض في الثلج.,0.44
متزلج يسرع عبر الثلج,كلب بني يحمل فرسبي يركض عبر الثلج,0.04
شخصان يلعبان الجولف في ملعب الجولف.,شخصان في ملعب غولف يلعبان الغولف.,1.0
ولد وفتاة يلعبان على الشاطئ,كلب يلعب في الموجات مع كرة,0.16
الطفل ذو المعطف الأحمر مستلقٍ على السجادة الحمراء,الطفل جاهز لتسلق القطعة الحمراء من المعدات,0.16
كلبان يلعبان في العشب.,كلبان يلعبان في العشب.,1.0
طفل يرتدي زي فريق أزرق وأبيض يطارد كرة قدم,صبي صغير في زي كرة قدم أزرق يطارد الكرة,0.8
لاعب كرة ناعمة يتأرجح في الملعب,لاعب بيسبول يضرب الكرة,0.56
رجل يزحف بعيداً عن الكاميرا,رجل يسبح على الماء,0.56
كلب أسود يركض في العشب.,فتى يركض عبر العشب الأخضر,0.2
صبي صغير وفتاة صغيرة يلعبان معاً في الخارج,فتى شاب وفتاة شابة يسيران نحو بعضهما البعض,0.4
شخصان يجلسان على نهاية رصيف.,شخصان يجلسان على رصيف,0.84
كلبان في الفناء,كلبان في نهر,0.4
رجل يطارد كلباً يحاول اجتياز الحاجز لدخول منطقة اللعب,رجل يتبع كلبه الأسود والأبيض بينما يتخذ مسار عقبات.,0.44
الكلب البني والأبيض الكبير يركض عبر الثلج.,كلب القديس برنارد يركض في الحقل الثلجي,0.8
رجل وامرأة دمويين يتمثلان للصورة,رجل يرتدي ملابس امرأة دافئة يتمثّل في صورة,0.4
كلب أصفر يلعب في منطقة عشبية بالقرب من الزهور.,فتاة تلعب على الأرجوحة,0.08
ولد يلعب مع المعكرونة عند المسبح,صبي يلعب بلعبة من الرغوة بالقرب من حمام السباحة,0.92
اثنين من الكلاب البنية الكبيرة تشغيل من خلال الثلج.,كلب بني يركض في العشب,0.4
صبي صغير يقفز في بركة مع ذراعيه ممدودة.,كلب يقفز في بركة في الفناء الخلفي,0.24
فتاة تحمل بالون حيوان أصفر.,طفل يحمل بالون أصفر,0.8
كلبان يتشاركان لعبة في حقل من النباتات.,اثنان من المتزلجين على الجليد في الهواء فوق الثلج,0.03
سيدة ذات شعر أشقر ترتدي ملابس بيضاء تتوقف أمام الكاميرا.,كلب أبيض وأسود يركض فمه مفتوحاً,0.0
الكلب يركض عبر الحقل يطارد الكرة,طفل يركض عبر العشب.,0.04
فتاتان جالستان أمام تمثال.,فتيان شقراء يجلسان بجانب تمثال,0.76
فتاة باللون البرتقالي تضيء شمعة,فتاة ترتدي قميصاً برتقالياً تضيء الشموع.,0.8
كلب أبيض يركض عبر حقل من الزهور الصفراء.,كلب ذو طوق أحمر يركض في الغابة في منتصف الشتاء.,0.32
رضيع يجلس على سرير يمد يده ليلمس وجه صبي أكبر منه,صبي يبدو مريضاً ويتم لمس وجهه من قبل طفل صغير,0.44
كلب يهز الماء,كلب يهز الماء,1.0
أولاد صغار يركضون على الرصيف,كلب أسود يجري على طول حافة المحيط,0.1
طفل صغير ينزلق على زلاجة برتقالية,صبي صغير يرتدي بدلة جينز ينزلق في زلاجة برتقالية,0.73
كلب أسود وأبيض يجري من خلال بعض الأعمدة الحمراء والأبيض,كلب أسود وأبيض في غرفة المعيشة يقف على الساقين الخلفيتين,0.32
"ثلاثة أشخاص يتظاهرون على الزلاجات وراء لافتة ""منع التزلج"".",ثلاثة أشخاص على الزلاجات يقفون خلف لافتة منع التزلج.,0.88
رجل يرتدي بدلة بيضاء يسير في الشارع يحمل صحيفة.,رجل يرتدي بدلة بيضاء يسير في الخارج يحمل صحيفة.,0.92
كلب أسود مع طوق أزرق يركض في الثلج.,كلب أسود يرتدي طوقًا أزرقًا يركض في الثلج.,1.0
كلب يركض نحو الكاميرا,كلب بني و أبيض يركض على العشب,0.16
صبي يتأرجح على الأرجوحة,الفتاة على الأرجوحة,0.48
مجموعة من الشباب يسبحون في مياه البحيرة,العديد من الأطفال يلعبون و يسبحون في الماء.,0.88
فريق كرة قدم أزرق وأبيض يلعب ضد بعضهم البعض.,إمرأة عاريّة من أعلى وجهها مُطَلَّع مغطاة بالطين.,0.0
كلب بني على وشك الإمساك بالفريسبي الأخضر,الكلب البني ينتظر أن ينزل الفريسبي قبل أن يمسك به,0.76
كلب أسود وأبيض يسبح في بحيرة خضراء كبيرة.,الكلب الأسود يركض بسرعة إلى المياه الضحلة,0.44
اثنان من الكلاب السوداء الكبيرة يلعبان في حقل عشبي.,اثنان من الكلاب البيضاء يركضون معاً.,0.44
الكلب البني والأسود يركض عبر الثلج.,كلب أسود يركض بسرعة على الأرض.,0.56
الرجل صاحب الحقيبة ينظر إلى يساره,ذكر بالغ يرتدي حقيبة ظهر يمشي وينظر إلى اليسار,0.76
رجل مسن في قميص أزرق يحمل قطعة من الفن على القماش.,رجل أسود يسير بجانب مبنى في مدينة كبيرة.,0.0
صبيين صغيرين نحيلين يلعبون بالرمل في الماء,كلبان يهزان الماء.,0.08
كلب صغير يركض عبر مسار العقبات,كلب صغير يقفز فوق عقبة,0.76
كلب بني يركض في الغابة,كلب بني يركض عبر العشب.,0.64
مجموعة من الناس تقف عند النافذة تراقب شيئاً ما.,مجموعة من الناس يقفون وينتظرون لرؤية شيء ما,0.68
كلب يقفز فوق حاجز في مسابقة خفة الحركة,كلب يقفز فوق سياج مسار العقبات,0.88
ثلاثة أشخاص يتسابقون على الزلاجات الجليدية,ثلاثة متزلجين على الجليد خلف الزاوية,0.64
اثنتان من المتسابقات تمشيان مع كلابهن في معرض للكلاب,امرأتان تمشيان مع الكلاب في معرض الكلاب,0.96
رجلين على جانب شاحنة,رجل يرقد على العشب بشعر طويل ولحية.,0.0
كلب بني يركض على العشب,كلب بني يركض عبر العشب.,0.96
شخص يركب دراجته على مسار بجوار الغابة,طفل صغير في قميص أصفر يمسك ذراعيه إلى الجانبين.,0.08
امرأة ترتدي ثوبًا أسودًا تبتسم أمام شاحنة فضية,فتاة ترتدي قمة سوداء تبتسم مع شاحنة فضية في الخلفية,0.72
كلب على الشاطئ بالقرب من الكرة,رجل يذهب ليقوم بضربة في ملعب كرة السلة,0.12
كلب يتجول عبر العشب البني,كلبان مقيدان عبر العشب,0.52
امرأة تلعب مع صبيين في الحديقة,امرأة وثلاثة أطفال يلعبون في حديقة.,0.64
كلب يخرج من الماء مع عصا في فمه.,كلب يركض نحو الكاميرا مع عصا في فمه.,0.48
ثلاثة كلاب تلعب في الثلج.,الفتى يلعب في الرمال.,0.16
الكلب يحمل قلادة في فمه,كلب رقيق يحمل حزام أسود في فمه.,0.84
رجل يرتدي الجينز يلعب بالكرة بينما امرأة يرتدي الجينز تقف بالقرب من هناك تنظر بعيداً,رجل يربط عصابة يد حمراء حول ذراع رجل آخر في الشارع,0.0
متزلج يسقط في الثلج,متزلج يسقط وجهه أولاً في الثلج,0.8
كلب مع لعبة حمراء في فمه.,الكلب البني يحمل عصا في فمه.,0.44
لاعبين للهوكي يتقاتلان على الجليد,لاعبين للهوكي في صراع على الجليد,0.96
اثنان من الخنازير يلعبون على الأرضية الخشبية في منزلهم.,جروان يلعبان بلعبة مضغ حمراء في الحقل.,0.32
كلبان يجريان في حقل,كلبان يلعبان في الحقل,0.84
رجل يرتدي بدلة رمادية يقفل دراجة,رجل وامرأة يقفان في شارع المدينة,0.08
رجل يرتدي سترة جلدية سوداء ينام في عربة مترو الأنفاق,رجل يرتدي سترة جلدية سوداء ينام في وسائل النقل العام.,0.92
كلب يقفز فوق عقبة,كلب يقفز فوق العقبة,0.96
اثنان من الرجال يقومون بإعداد بعض المعدات الإلكترونية,كلبان يتصارعان على الأرض في الثلج.,0.0
كلب أسود يسير على العشب بعصا في فمه.,صبي يحمل شبكة بها ثعبان بالقرب من الأرض,0.0
فتاة تجري مع الكلاب في حقل جاف,كلب رمادي وكلب بني اللون يلعبان في حقل عشبي,0.44
كلبان يلعبان في الثلج,كلبان أسودان في الثلج,0.8
كلب يقفز من الرصيف إلى الماء,الكلب الأسود يقفز من الرصيف إلى الماء,0.8
مجموعة من الرجال المسنين يسيرون في الشارع,زوجان يسيران في الشارع,0.4
ثلاثة كلاب تقف في الثلج بجانب سياج أزرق.,ثلاثة كلاب تلعب في المياه الضحلة بجانب الشاطئ الصخري.,0.44
كلب أسود وأبيض يجري عبر الحقل.,كلب أسود وأبيض يركض في العشب.,0.96
فتى يرتدي ملابس سوداء يلوح بذراعه بينما الآخرون خلفه في الحقل.,رجل يرتدي قميصاً أسوداً يمر على مقعد في المدينة,0.08
امرأة مسنة تقود دراجة على طول شارع المدينة.,امرأة مسنة تسير صعوداً عبر الشارع,0.4
صبي صغير يضرب كرة صفراء,كلب صغير يقفز فوق شعاع أصفر.,0.08
مجموعة من الراقصات الشابات في استوديو الرقص,مجموعة من السيدات الشابات في البيكيني,0.28
صبي صغير يرتدي قميصًا أبيضًا يلعب على سهل عشبي.,امرأة تصفف شعرها في صالون.,0.0
رجل وكلب يلعبان سحب السلاح,رجل يرقص على جدار ملون,0.08
طفل رطب يرتجف تحت منشفة في حمام سباحة,طفل مبلل يرتجف في منشفة أمام بركة.,0.92
كلب أبيض يركض على الشاطئ,الكلب الأبيض يركض على طول الشاطئ.,1.0
ستة كلاب تجري على الشاطئ الرملي,ستة كلاب تمشي بجانب الشاطئ,0.68
رجل يمسك بمقبض في الماء,رجل يمسك بالمقبضات في الهواء,0.64
كلب أبيض يسير في الثلج,كلب أسود وأسمر يمشي في الثلج,0.6
الكلب الأبيض والبني يجري عبر العشب.,ثلاثة كلاب تجري على العشب.,0.64
فتى ينزل من زلاجة نفخة,فتى يرتدي اللون الأحمر ينزلق على متن عربة نفخة,0.76
كلبان يلعبان بالكرة في بركة,كلبان يقفان في بركة، و أحدهما يحمل كرة تنس صفراء.,0.76
ثلاثة كلاب تلعب في الماء.,ثلاثة كلاب تجري في الثلج.,0.28
كلبان يلعبان في الثلج,طفلين يلعبان مع كلب,0.24
فتاة تقوم بثني ظهرها على الشاطئ,فتاة تقوم بالانحناء الخلفي على الشاطئ,0.96
الكلبان يلعبان في الثلج.,كلبان يلعبان معاً في العشب.,0.44
اثنان من المتزلجين على ركوب موجة صغيرة.,اثنان من راكبي الأمواج يقومون بخدع في الأمواج,0.72
شخصان يسيران على الشاطئ عند غروب الشمس,شخصان يسيران على طول الشاطئ عند غروب الشمس,1.0
جروان يلعبان في العشب,كلبان يتصارعان في العشب.,0.8
فتاة صغيرة جالسة على حضن سانتا,فتاة صغيرة جالسة على حضن سانتا,0.96
كلب أبيض وأسود يركض فمه مفتوحاً,كلب أبيض وأسود يسبح في الماء الأزرق,0.44
فتى صغير يقفز في الهواء على الشاطئ,صبي يقفز في الهواء على الشاطئ,0.96
خمسة رجال يرتدون بدلة تنفسية يسيرون أسفل الدرج,خمسة رجال يرتدون بدلة تنفسية يسيرون على الدرج,1.0
رجل بملابس قصيرة حمراء وقميص أبيض يركل كرة قدم,كلب أسود يقف في الأمواج يحمل كرة مطاطية حمراء,0.0
رجل وكلب على شاطئ صخري,رجل وكلب يقف على الصخور بجانب الماء,0.96
الكلب البني يرش في الماء,أربعة كلاب تتدفق في الماء,0.48
المرأة المبتسمة على الشاطئ مدفونة في الأعشاب البحرية.,فتاة في قبعة رعاة البقر مع خروف على الحبل,0.2
الكلب ذو الأذنين الكبيرة يحمل عصا صغيرة في فمه.,جرو ذو أذنين كبيرتين يمضغ عصا,0.76
الكلب البني الكبير يقفز عبر العشب الطويل.,الفتاة التي ترتدي قميصاً أزرقًا تجري عبر مركز علمي.,0.0
كلبان يتقاتلان في الثلج,كلبان يلعبان في الثلج,0.52
كلب بني في منتصف صف من الكلاب يطارد كرة تنس قذرة على التراب.,هناك كلبان أبيضان وكلب بني يطاردان كرة.,0.56
الكلب الرمادي نشط في حقل عشبي.,مجموعة من الدراجات تتسابق على الحلبة,0.0
شخصان يتسابقان على دراجة نارية في الطين,الكلب يحمل عصا طويلة في فمه,0.0
الرجل يجلس على قمة جبل صخري,شخص يخرج رأسه من خيمة على قمة الجبل,0.48
رجل يقف على قارب يسحب قارب آخر بالقرب منه بعصا من الخيزران.,رجل يرتدي قبعة سوداء يقف أمام جدار من الطوب وعلامة,0.0
رجل يعزف على غيتاره الأبيض,رجل يعزف على غيتار أبيض و يغني أيضاً,0.64
شخص يتزلج مع كلب في الجبال,الكلب البني يلعب بالكرة في الماء,0.0
شابين عاريين اللعب في الماء.,الكثير من الناس يلعبون في الماء على الشاطئ.,0.48
مقربة من طائر الطنان,صورة عن قرب لطائر الطنان يطير,0.72
امرأة في ثوب أسود تمشي في الشارع.,امرأة تشاهد كلباً يقفز من على الدرج,0.16
رجل وامرأة ينظران إلى الكاميرا,رجل وامرأة يضحكان,0.47
كلب بني يركض عبر العشب الموحل القذر,الكلب البني الكبير يركض في الخارج في التراب.,0.72
ثلاثة كلاب تسحب رجل على دراجة عبر الثلج,الكلاب تسحب رجل على نوع من الدراجات، من خلال الثلج.,1.0
طفل يرتدي قبعة حمراء يجلس في عربة ويحمل دمية,رجل في قميص رمادي يجلس في حقل من الزهور.,0.0
ثلاثة أطفال يلعبون بالعشب في الهواء الطلق، يرمون البعض في عدسة الكاميرا.,ثلاثة أطفال صغار يلعبون في القش، يرمون البعض في الكاميرا.,0.96
متسلق يقف على وجه الصخرة بجانب الحبل الوردي,الأطفال يركضون في الثلج مع الأسوار في الخلفية.,0.0
كلب أسود يرتدي طوق برتقالي متورط بسلك الصيد.,الكلب الأسود الذي يرتدي طوق أحمر يهز الماء,0.36
كلبان يلعبان في التراب.,راقصة تُمثّل للكاميرا في فستان أحمر وأبيض.,0.0
الكلب الذهبي يركض على العشب,الكلب البيج الكبير يركض عبر العشب.,0.68
الكلب يركض عبر العشب.,كلب يركض عبر العشب,0.96
رجل بملابس قصيرة حمراء يسير على طول الصخور بجانب النهر يحمل عصا.,رجل يمشي على الصخور مع مياه تجري حولهم.,0.68
رجل يجدف قارباً,رجل يقوم بخدعة على لوح التزلج,0.0
ثلاثة كلاب تجري على مضمار السباق,ثلاثة كلاب حول المنعطف في حلبة سباق,0.96
كلب أسود وبني يسير في الثلج بالقرب من مبنى,رجل مسن يقف خارج مبنى قديم مغطى بالألواح,0.16
الكلب يقفز إلى بركة السباحة بعد البطة.,كلب يقفز في بركة سباحة,0.68
كلب يركض عبر الغابة في فصل الشتاء,كلب يركض عبر الكثير من الأغصان,0.64
الفتاة تلعب مع الصور على الشاشة الكبيرة,ثلاث فتيات يحملن مظلات وظهورهن إلى الكاميرا,0.08
الكثير من الناس يركضون في سباق في الشارع,جرو يركض في الشارع,0.2
رجل في ملابس السباحة يقف ضد بعض الصخور.,رجل يرتدي قميصاً رماداً يتسلق جداراً صخرياً كبيراً,0.2
كلبان أبيضان يمشيان في الثلج,كلب داكن ذو طوق أسود ينبح في الثلج,0.4
امرأة ترتدي قميصاً وردياً تقفز في الهواء ذراعيها وساقيها منتشرة إلى الجانبين.,رجل يرتدي ساندرز ونظارات شمسية يقفز في الهواء ذراعيه وساقيه مفتوحة إلى الجانب.,0.48
الكلب يركض عبر العشب.,كلبان يجريان عبر الأدغال.,0.56
كلب يركض على الرمال,كلب يركض عبر الماء,0.56
امرأة تحاول ركوب موجة صغيرة,رجل وامرأة يجلسان خلف بعضهما في الشمس,0.0
الكلب الأسود والأبيض يسبح في النهر.,رجل أسود وكلبه على الشاطئ,0.12
رجل يقف على قمة الصخور المتعرجة بالقرب من المحيط,رجل يقف على قمة صخور تطل على المحيط,0.92
فتاة ترتدي بدلة غطس سوداء وزرقاء تتزلج.,امرأة ترتدي بدلة ذات خطوط سوداء وزرقاء تتزلج على موجة.,0.88
المرأة تقود كلباً عبر مسار عوائق,امرأة تقود كلبها الصغير عبر مسار العقبات,0.92
كلبان على الشاطئ,الكلب يمشي على الشاطئ,0.48
صبي صغير يقف على منطقة ملبوسة بالبلاط الرمادي.,صبي صغير يمارس الكاراتيه في صالة الألعاب الرياضية,0.2
الكلب يركض مع طعام في فمه.,الكلب يركض مع كرة صفراء في فمه.,0.44
كلبان يركضان على الشاطئ,كلبان يجريان على الشاطئ,0.96
كلب أسود وأبيض يسبح في المسبح,كلب أسود وأبيض يركض مع شيء في فمه.,0.4
الكلب لديه رأسه داخل حقيبة هدايا حمراء وخضراء,الحيوانات الأليفة تتحقق في محتويات حقيبة الهدايا.,0.76
رجل يرتدي قميصاً أصفر يرتدي قناع شمسي ذهبي,رجل يرتدي قميصاً أصفر يرتدي قناعاً ذهبياً على شكل شمس,1.0
رجل يتسلق صخرة صخرية مع دعم حبل,شاب يقوم بالقفز على الجليد مع لوحة أرجوانية.,0.08
طفل بيديه على رأسه,صبي صغير يقف بيديه فوق رأسه,0.84
رجل يرتدي سترة برتقالية يقود قاربًا في الماء الأزرق.,رجل يرتدي سترة برتقالية يرفع يديه إلى السماء في الرمال,0.36
رجل عجوز يرتدي معطف أسود يقف في السوق,الطفل يرتدي قميصاً أحمر ويمشي في الساحة,0.24
رجل يتسلق الجرف,رجل يتسلق جرف صخري,0.96
فتيان يرتديان بنطال البيجاما ويبدوان يرقصان.,فتاتين مع قبعات بيسبول يأكلان وجبة خفيفة في الخارج.,0.12
كلب أبيض و بني يلعب بلعبة سوداء,الكلب الأبيض والبني يلعب السحب والجذب.,0.68
فتى يلعب البيسبول,رجل يلعب البيسبول,0.6
فتى يرتدي قميصاً أحمر يركض عبر العشب مع كلب مُشعر.,مشجع رياضي يرتدي طلاء الوجه في المدرجات,0.0
كلب أسود يستعيد في الثلج.,متزلج يقفز في الشارع,0.0
رجل مبتسم و طفلة صغيرة تتصور للصورة,رجل مبتسم يحمل طفلا صغيرا يرتدي اللون الوردي والأحمر,0.64
كلب يقفز من أجل لعبة (فريسبي) في الثلج,كلب يقفز في الثلج.,0.64
كلب بني وأبيض مع ياقة وردية ينبح على كلب بني مع ياقة زرقاء في الثلج.,الكلب ذو الياقات الحمراء يضع أسنانه على الكلب ذو الياقات الزرقاء,0.68
كلبان بنيان يعضان بعضهما البعض.,كلبان بنيان يعضان بعضهما على الرمال,0.84
متزلج يُحاول خدعة على جانب جدار منخفض.,فتى يقوم بخدع التزلج على الدرابزين,0.8
فتاة صغيرة تقوم بقفزة ظهرية في الماء,فتاة شابة ترتدي اللون الأرجواني تجري عبر الماء,0.56
لاعب التزلج على الجليد يركب لوح التزلج على حائط بجوار خطوات.,صبي يطحن لوح التزلج أسفل جدار خرساني.,0.16
امرأة مع رجلين يرتديان قبعات يتسكعان في الخارج,امرأة شابة مع قبعة منسوجة تقف ضد جدار بيتزا دومينو.,0.28
صبي صغير يرتدي رداء حمام يجلس على كرسي معدني.,صبي يرتدي رداء يجلس على كرسي,0.84
كلب أسود يركض في الثلج.,كلب بيتبول أسود يركض في التراب,0.44
مجموعة من المراهقين يرقصون على أرضية خشبية,مجموعة من الناس يرتدون ملابس ذات ألوان داكنة يرقصون على أرضية خشبية.,0.68
صبي صغير يركب دراجة.,فتاة صغيرة مستلقية على لعبة زرقاء قابلة للنفخ,0.08
كلب أسود يركض في الثلج,كلب أسود يركض على الشاطئ,0.36
ثلاثة كلاب في الثلج قرب السياج,كلبان يشربان الماء في بحيرة.,0.2
فتاة تجري على ضفاف النهر مع كلبين أسودين.,صبي صغير يداعب نمراً مستلقي,0.04
فتاة مراهقة تجري على الشاطئ تصرخ، مع رجل كبير السن يسير وراءها.,طفل صغير يركض على طول الشاطئ على الشاطئ,0.36
كلب بني وأبيض يسير بجانب رجل على لوح التزلج.,طفل أشقر يرقد على فرع شجرة في حقل أخضر.,0.0
رجل يركب لوح ركوب الأمواج على موجة,رجل باللون الأسود على لوح ركوب الأمواج,0.8
الرجل ذو القميص الأحمر يتسلق جانب الجبل.,رجل يتسلق جانب الجبل,0.84
رجل يركب دراجة نارية وهو يرتدي زياً أسود,دراجة نارية بيضاء يجري ركوبها حول مسار السباق.,0.28
كلب أسود يسبح في النهر,كلب أسود يحفر في الثلج,0.24
رجل وامرأة يبتسمان,رجل وامرأة يضحكان,0.64
رجل يقف على قمة صخرة أو جبل يشاهد غروب الشمس,رجل يقف في الجبال يشاهد غروب الشمس,0.96
فتاتان صغيرتان تلعبان على الترامبولين.,صبيان صغار يلعبان في ساحة لعب.,0.28
فتيان يقفزان عالياً في الهواء,كلبان يتشاجران في العشب بالقرب من بحيرة.,0.04
المرأة التي تحمل حقيبة سوداء تدخن سيجارة.,امرأة تحمل حقيبة سوداء تدخن سيجارة,0.96
هناك كلب يركض على طول العشب.,كلب بني يركض في العشب.,0.84
رجل ذو شعر طويل ينظر من خلال الكاميرا.,امرأة تقف أمام جدار بالقرب من كاميرا الفيديو.,0.2
الكلب البني يركض على العشب,الكلب يركض على العشب.,0.8
شخصان يرتديان قبعات يجلسان وينظران إلى الكاميرا,رجل يرتدي قميصاً أزرق يصنع وجهاً غاضباً,0.0
فتاتين تلعبان مع الناس و الزهور خلفهم,فتاتان صغيرتان ترتدان تنورة تلعبان في حديقة.,0.64
فتاة ترتدي قميصاً وردياً تمدّ أطرافها في الهواء.,رجل يرتدي بدلة سانتا يتسلق بناية خرسانية كبيرة,0.0
فتاة صغيرة في قميص أحمر تسحب طائرة ورقية.,فتاة ترتدي قميصاً أحمر تلتقط صورة بالهاتف,0.28
طفل ينزلق في الثلج,رجل ينام في الشارع,0.0
ثلاثة كلاب تلعب في الماء.,ثلاثة كلاب تسبح في الماء.,0.84
كلب أبيض يركض على الرمال,كلب أبيض يركض على الرمال.,1.0
فتاة صغيرة مع يديها في الهواء تجلس على ظهر رجل بينما هو مستلق على بطانية.,طفل يركض في الاتجاه المعاكس للآخرين الذين كانوا يلعبون لعبة.,0.04
سيارة سباق حمراء وبيضاء تتسابق على حلبة سباق قذرة,شخص يركب دراجة قذرة في سباق على مسار قذر.,0.28
كلب أسود وأبيض يجري عبر حقل البقر.,كلب أسود وأبيض كبير يركض في مياه المحيط,0.44
رجل يرتدي قبعة من القش يحجب هاتفه بينما يمشي آخرون على الرصيف المزدحم.,رجل يرقد في الشارع رأسه وأكتافه تحت سيارة مركونة,0.12
رجل يحمل حقيبة بريد أمام جدار من البلاط الرمادي.,رجل يرتدي سترة حمراء يقف أمام المنارة.,0.16
الكلب يسبح في الماء.,ثلاثة كلاب تسبح في الماء.,0.64
كلب صغير أبيض ذو شعر مجعد يركض عبر الرصيف بعصا في فمه.,كلب أبيض ذو شعر مجعد يركض بعصاً في فمه,0.92
المرأة الشقراء ترتدي علم أمريكي أسود وقبعة من التارتان,امرأة ذات شعر أحمر ترتدي قبعة سوداء مزينة بالعلم الأمريكي.,0.56
شخص يحمل شبكة يقف في الماء.,امرأة سوداء وطفلان سوداء يجلسان في خيمة ذات سقف قش.,0.12
امرأة ترتدي بدلة رياضية حمراء تضغط على الليمون,امرأة شابة ترتدي قميصاً وردياً تأخذ صورة.,0.08
رجل يسير كلبين على القيود في الشارع,رجل يمشي مع كلبين في المدينة,0.84
كلب يركض في الثلج.,كلبان يجريان في التراب,0.44
ولد صغير يلعب في الثلج,الكلب البني والأبيض يلعب في الثلج.,0.32
امرأة ترتدي قميصًا أزرقًا وبنطالًا قصيرًا داكنًا تجلس على طاولة.,امرأة شابة مبتسمة ترتدي قميصاً برتقاليّاً وقناعاً يُمثّلون على طاولة في الهواء الطلق,0.64
كلب أبيض يركض في الثلج,الكلاب تجري في الثلج.,0.64
الكلب الأسود يركض في الثلج.,سائق سيارة سباق يقود سيارته في الطين,0.0
كلب يرتدي سترة خضراء وحقيبة ظهر يسير على الثلج,كلب صغير يرتدي سترة خضراء وحقيبة ظهر يمشي في الثلج,0.88
مجموعة من الناس يجلسون حول مكتب.,مجموعة من الفتيات على الشاطئ,0.12
ثلاثة كلاب يركضون في الحقل,كلبان يجريان في حقل عشبي,0.56
رجل وامرأة يداهما على ذقنهما يقفان بجانب شجرة عيد الميلاد,الرجل ذو اللحية البيضاء والقبعة الزرقاء يقف في باب ورشة عمل.,0.08
الكلب الأسود والأبيض لديه عصا في مخالب.,كلب أسود وكلب أبيض يقفان على الثلج.,0.24
كلب أبيض يركض في الثلج,الكلب الأسود والأبيض يركض عبر العشب.,0.28
رجل على الزلاجات على تلة مغطاة بالثلوج مع الجبال في الخلفية,كلب يستمتع بالعبث في الماء مع الجبال والرمال في الخلفية.,0.12
